gen,repertoire_diversity,opponent_diversity,hof_size
0,0.8537109021367983,0.5118305674961187,10.0
1,0.8459155102984204,0.4979418801281729,10.0
2,0.7681178477182657,0.49963345772004436,10.0
3,0.6398101664447375,0.5053562203455818,10.0
4,0.5454449546259509,0.5064059350850367,10.0
5,0.4899245434363645,0.5077453314255774,10.0
6,0.4714640504119299,0.4961966885768063,10.0
7,0.43594546084230923,0.5042892040107455,10.0
8,0.4372545027889555,0.5040262585306584,10.0
9,0.43136614445708044,0.5072363375965806,10.0
10,0.3718079811553867,0.5012949517971691,10.0
11,0.4081555038150804,0.5081926378298488,10.0
12,0.37501776376090906,0.5005690633468489,10.0
13,0.4318151188310283,0.4998389818541319,10.0
14,0.3536711004012281,0.49766699627825667,10.0
15,0.43728607830380606,0.496091391883417,10.0
16,0.3709929100526768,0.5017369511639098,10.0
17,0.4336623882381241,0.4943254930075346,10.0
18,0.369675366876224,0.5003302163600788,10.0
19,0.4122368053083608,0.5003678809301619,10.0
20,0.35266634115090334,0.5080253039317574,10.0
21,0.4418451759177048,0.5017089159490032,10.0
22,0.3516249297438168,0.49887093277773303,10.0
23,0.43955224266946064,0.5026083974128867,10.0
24,0.377890150085663,0.5108089196528512,10.0
25,0.40546991307802766,0.5097608539870696,10.0
26,0.3836108736947804,0.507149357571284,10.0
27,0.3907545701247132,0.5055341093804369,10.0
28,0.35398106404359997,0.5098726464105531,10.0
29,0.41968734395438356,0.5008931055015237,10.0
30,0.3565505064145769,0.498542442203702,10.0
31,0.4257149113571798,0.5049096367849794,10.0
32,0.3494787387467787,0.5050853031022935,10.0
33,0.3938234414616438,0.5044353582154965,10.0
34,0.3485114804045033,0.5002161624643306,10.0
35,0.40083663710193557,0.5065806207775647,10.0
36,0.36042778608871356,0.5073055571108264,10.0
37,0.37702744077620504,0.5084864736403675,10.0
38,0.3613329548390806,0.49313246339547223,10.0
39,0.38450825872822236,0.5052348733220968,10.0
40,0.36807204735725035,0.5025380588057013,10.0
41,0.37934040174725875,0.5036879574608131,10.0
42,0.3358975400137151,0.5000411530140252,10.0
43,0.38378717766603093,0.5109113190189872,10.0
44,0.3329737020713716,0.5091737242195103,10.0
45,0.4024473749128787,0.5077596271817615,10.0
46,0.3397470854468673,0.5096301673531508,10.0
47,0.37522162523375585,0.5084573379868038,10.0
48,0.32935321120050737,0.5065422899303469,10.0
49,0.37925133274381057,0.49421774166362176,10.0
50,0.33324437268663126,0.5022443535985304,10.0
51,0.3830628358033433,0.5088107324281997,10.0
52,0.341949700320847,0.5125161927736578,10.0
53,0.3718397593861124,0.5034912584285552,10.0
54,0.3613806423233096,0.49878011767043534,10.0
55,0.34475489379083757,0.5088567800452153,10.0
56,0.3688099577052938,0.5078692451246793,10.0
57,0.3353141170762225,0.50845039858132,10.0
58,0.3723367453192169,0.4999361815285368,10.0
59,0.3499519664791035,0.5063226546878606,10.0
60,0.3788166735793851,0.5060130624854667,10.0
61,0.33604757266489216,0.502399418819222,10.0
62,0.3651435127561174,0.5085028805992667,10.0
63,0.3224739993145032,0.5121923523581856,10.0
64,0.3807581419011522,0.5013156998745766,10.0
65,0.3386957024031753,0.5024342861758417,10.0
66,0.35197911246492547,0.5065232183354893,10.0
67,0.32940553440362486,0.5051386435027516,10.0
68,0.3716928026005372,0.5074727624654921,10.0
69,0.35746118918058534,0.5057658503510302,10.0
70,0.3507973181297196,0.5081468925594653,10.0
71,0.3581548230866096,0.5014783554950867,10.0
72,0.3330073061831092,0.5045773256545611,10.0
73,0.3649011806898493,0.4997488692189657,10.0
74,0.33966939875865354,0.5002896313039777,10.0
75,0.37165958508042374,0.4999921791554248,10.0
76,0.33049299831792095,0.494388178913611,10.0
77,0.36677933150892394,0.4919764306631969,10.0
78,0.3321931903579772,0.49696972979731585,10.0
79,0.3738890300024853,0.49925952777642346,10.0
80,0.3380925745832748,0.5101615228448423,10.0
81,0.371763099736642,0.5075737836446781,10.0
82,0.3397901046597428,0.5094720954831005,10.0
83,0.3697216216602283,0.5098364532268244,10.0
84,0.34537079228094725,0.4989973064055323,10.0
85,0.36897025083674245,0.49937760243178897,10.0
86,0.32699058768857964,0.5068449809324191,10.0
87,0.3641916257133884,0.5034765350302396,10.0
88,0.3418839550943877,0.5126009127508679,10.0
89,0.3675297194388524,0.5077801598402076,10.0
90,0.3434088662548973,0.5199632101790441,10.0
91,0.35843556710281504,0.5068457519372234,10.0
92,0.339887900711266,0.5078957570590413,10.0
93,0.35760760197319336,0.5043394724352143,10.0
94,0.3241714838963743,0.5021216551007284,10.0
95,0.3510743361356411,0.5002576759364135,10.0
96,0.3371413542669435,0.5003840127243813,10.0
97,0.3533247913460406,0.5108679456493757,10.0
98,0.3336374057821728,0.5015668822856196,10.0
99,0.34574047030713223,0.5032456085874188,10.0
