metric,method_a,method_b,mean_a,mean_b,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,most_played_baseline,RANDOM_SEARCH,0.49375819845373264,0.5175762809230153,-0.023818082469282686,1.862645149230957e-08,0.0,True
heldout_uniform_mean,most_played_baseline,GREEDY_HILLCLIMB,0.49375819845373264,0.5252998275156152,-0.03154162906188257,1.6763806343078613e-08,0.0,True
heldout_uniform_mean,most_played_baseline,STATIC,0.49375819845373264,0.5253420507533202,-0.031583852299587545,1.4901161193847656e-08,0.0,True
heldout_uniform_mean,most_played_baseline,COEVOLVE,0.49375819845373264,0.5256996354381066,-0.03194143698437396,1.30385160446167e-08,0.0,True
heldout_uniform_mean,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5175762809230153,0.5252998275156152,-0.007723546592599884,1.1175870895385742e-08,0.0,True
heldout_uniform_mean,RANDOM_SEARCH,STATIC,0.5175762809230153,0.5253420507533202,-0.007765769830304858,9.313225746154785e-09,0.0,True
heldout_uniform_mean,RANDOM_SEARCH,COEVOLVE,0.5175762809230153,0.5256996354381066,-0.008123354515091274,7.450580596923828e-09,0.0,True
heldout_uniform_mean,GREEDY_HILLCLIMB,STATIC,0.5252998275156152,0.5253420507533202,-4.2223237704974714e-05,0.8552717231214046,0.4911111111111111,False
heldout_uniform_mean,GREEDY_HILLCLIMB,COEVOLVE,0.5252998275156152,0.5256996354381066,-0.00039980792249139085,0.7099570333957672,0.4288888888888889,False
heldout_uniform_mean,STATIC,COEVOLVE,0.5253420507533202,0.5256996354381066,-0.00035758468478641614,0.741481214761734,0.43444444444444447,False
heldout_worst_band,most_played_baseline,RANDOM_SEARCH,0.4893577236290982,0.5119543611637315,-0.022596637534633313,1.862645149230957e-08,0.0,True
heldout_worst_band,most_played_baseline,GREEDY_HILLCLIMB,0.4893577236290982,0.5195369389194401,-0.0301792152903419,1.6763806343078613e-08,0.0,True
heldout_worst_band,most_played_baseline,STATIC,0.4893577236290982,0.520528731815659,-0.031171008186560767,1.4901161193847656e-08,0.0,True
heldout_worst_band,most_played_baseline,COEVOLVE,0.4893577236290982,0.5204276332682345,-0.031069909639136306,1.30385160446167e-08,0.0,True
heldout_worst_band,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5119543611637315,0.5195369389194401,-0.007582577755708586,1.1175870895385742e-08,0.0,True
heldout_worst_band,RANDOM_SEARCH,STATIC,0.5119543611637315,0.520528731815659,-0.008574370651927454,9.313225746154785e-09,0.0,True
heldout_worst_band,RANDOM_SEARCH,COEVOLVE,0.5119543611637315,0.5204276332682345,-0.008473272104502994,7.450580596923828e-09,0.0,True
heldout_worst_band,GREEDY_HILLCLIMB,STATIC,0.5195369389194401,0.520528731815659,-0.0009917928962188682,0.08097944408655167,0.34,False
heldout_worst_band,GREEDY_HILLCLIMB,COEVOLVE,0.5195369389194401,0.5204276332682345,-0.0008906943487944075,0.109304990619421,0.35333333333333333,False
heldout_worst_band,STATIC,COEVOLVE,0.520528731815659,0.5204276332682345,0.00010109854742446078,0.9192965272814035,0.5188888888888888,False
