method,median_sec,mean_sec,std_sec,median_min
Most Played,0.07317256927490234,0.07445910771687826,0.008024492850230198,0.0012195428212483724
Hill-climb,2.3057687282562256,2.266728226343791,0.19565567220425514,0.038429478804270424
Static GA,4.29993748664856,5.601435136795044,2.4464125807224653,0.071665624777476
CoEvolve,194.31144762039185,194.0385328769684,7.182721683505519,3.2385241270065306
