gen,repertoire_diversity,opponent_diversity,hof_size
0,0.8620671460713515,0.4161621860410947,10.0
1,0.8633775341776591,0.34488603652636113,10.0
2,0.8542449392107301,0.30994394815802573,10.0
3,0.8226750669255545,0.2844963313460891,10.0
4,0.8068273099822467,0.2865448851345682,10.0
5,0.784652179917799,0.2984814768581232,10.0
6,0.7363800012588276,0.2799527595559751,10.0
7,0.6659680944167559,0.2873439698657222,10.0
8,0.6500829731748435,0.2620731753676135,10.0
9,0.6276555434593498,0.2563638271070804,10.0
10,0.5854419903946189,0.2653824600611199,10.0
11,0.5249984120236261,0.2631285601975695,10.0
12,0.4320018478238419,0.2825814947258382,10.0
13,0.3376047328837535,0.2821464359195043,10.0
14,0.2908223779395259,0.28705461861678605,10.0
15,0.4452911190342774,0.26217719451318117,10.0
16,0.36076465119586365,0.26248799567018744,10.0
17,0.47347447457224634,0.259550621096044,10.0
18,0.44589103361995297,0.285507435584714,10.0
19,0.3575190565514382,0.27278816936871875,10.0
20,0.4770378663014474,0.26669851013029616,10.0
21,0.33002611672608645,0.28481460442780204,10.0
22,0.4962516748944862,0.2946565679174208,10.0
23,0.36199016027851644,0.2672127708341106,10.0
24,0.45376099329161723,0.2928821281302897,10.0
25,0.3054438517433429,0.27516793326922273,10.0
26,0.4575559575614769,0.29570966171100366,10.0
27,0.36419872454461866,0.27976427966416284,10.0
28,0.3365302813093246,0.2756180845177167,10.0
29,0.5238942742332745,0.31189226323339436,10.0
30,0.44018143944657045,0.31661177706122884,10.0
31,0.2777973427761382,0.29574084417112045,10.0
32,0.43193491132396733,0.3111968321879838,10.0
33,0.34947957370683597,0.3110875372368851,10.0
34,0.25092181496221666,0.2854650967568754,10.0
35,0.44598014046185763,0.2836075566195123,10.0
36,0.33656277483865615,0.2977903297131642,10.0
37,0.26644736007509695,0.306230417542636,10.0
38,0.4423449008684368,0.308004653480937,10.0
39,0.3368295165319234,0.28658605990778907,10.0
40,0.3097245669581361,0.2807033629271002,10.0
41,0.4262174301743845,0.27759621053948014,10.0
42,0.28175339470310007,0.2772326081751052,10.0
43,0.43414156574982565,0.2705851037076661,10.0
44,0.29088837571203213,0.2696518857543834,10.0
45,0.39978128244715294,0.3049657741833813,10.0
46,0.31182021786654596,0.291186653493425,10.0
47,0.4283767866466952,0.29321831284071065,10.0
48,0.27918267060367646,0.30346395882280724,10.0
49,0.4034671439431491,0.30445157171105164,10.0
50,0.2605455675440523,0.2987563779121032,10.0
51,0.3571142464001926,0.2765655624850911,10.0
52,0.28812470504364185,0.2764208477783804,10.0
53,0.23424644815649615,0.27586536003534556,10.0
54,0.3975666933891371,0.2686935396709428,10.0
55,0.3604989025266515,0.2574258957406084,10.0
56,0.24338750702802336,0.2670181288418124,10.0
57,0.3887093678867444,0.2639101080721918,10.0
58,0.28724792028349966,0.2858933981862687,10.0
59,0.25741833077362924,0.29288864371725,10.0
60,0.4018244398060638,0.2838838868257594,10.0
61,0.2957075704138883,0.28735316626401186,10.0
62,0.39534257873179207,0.2684239592039821,10.0
63,0.28730732955721666,0.2822032661304834,10.0
64,0.2951149875545759,0.28440218168394393,10.0
65,0.23822263215281075,0.28351199240999025,10.0
66,0.4567553811559423,0.3056091914814232,10.0
67,0.2919683989486184,0.2893015581611957,10.0
68,0.4129165595420348,0.2953118956056019,10.0
69,0.33979743059944756,0.29248226175455194,10.0
70,0.2455921516299212,0.25781231429086693,10.0
71,0.4195980061653184,0.2649074896364204,10.0
72,0.2792400290764927,0.2711194654954896,10.0
73,0.29203348281094327,0.2699098140864238,10.0
74,0.4495411433068417,0.28808507531076966,10.0
75,0.35958054650180793,0.2595454627086671,10.0
76,0.3121522730250657,0.2618209160976558,10.0
77,0.47640641626520297,0.2605103079949812,10.0
78,0.4324097345200403,0.25571592744260574,10.0
79,0.4009460126467147,0.2902451507496385,10.0
80,0.3586726261696945,0.31363500903246955,10.0
81,0.36348436443687315,0.302386486280254,10.0
82,0.3210272501382282,0.29866583856237616,10.0
83,0.43845937937908097,0.28306315082014377,10.0
84,0.3719122487235309,0.283280319930711,10.0
85,0.3001821537173134,0.2863873204847269,10.0
86,0.47028891080200474,0.2507138198581,10.0
87,0.34907474848948405,0.275287868074397,10.0
88,0.5232432920383179,0.2857490087179349,10.0
89,0.39166898030191655,0.2984533644756564,10.0
90,0.3002099747663503,0.27797306433671254,10.0
91,0.47466776854929427,0.28476528844017107,10.0
92,0.4296061072674724,0.2865978487715897,10.0
93,0.3350134722049349,0.29095148785332614,10.0
94,0.4341806181883858,0.28647100838458006,10.0
95,0.26178133446376584,0.27629739300653217,10.0
96,0.3908618901914955,0.28285601378020514,10.0
97,0.35316602499220984,0.2746863779358921,10.0
98,0.28394700947899415,0.2722230318975799,10.0
99,0.34307062991607956,0.28301792358944866,10.0
