metric,method,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
heldout_uniform_mean,most_played_baseline,0.4987817963544048,0.0,0.4987817963544048,0.0008122042259340038,0.0
heldout_uniform_mean,RANDOM_SEARCH,0.5388102163200837,0.0016105184561856101,0.5387063091682195,0.03773588628377028,0.06666666666666667
heldout_uniform_mean,GREEDY_HILLCLIMB,0.5401745027114606,1.1491900087240784e-16,0.5401745027114607,0.9519315235887424,0.5333333333333333
heldout_uniform_mean,STATIC,0.5385636234476731,0.006238908561400444,0.5401745027114607,,
heldout_uniform_mean,COEVOLVE_FROZEN,0.5401745027114606,1.1491900087240784e-16,0.5401745027114607,0.6346210157258283,0.5333333333333333
heldout_uniform_mean,COEVOLVE,0.5385636234476728,0.006238908561400446,0.5401745027114607,1.0,0.5
heldout_worst_band,most_played_baseline,0.4970751520643272,1.1491900087240784e-16,0.4970751520643273,0.0008122042259340038,0.0
heldout_worst_band,RANDOM_SEARCH,0.5275783809833078,0.0007436787276888337,0.5278780273895312,0.03773588628377028,0.06666666666666667
heldout_worst_band,GREEDY_HILLCLIMB,0.5294946391805082,0.0,0.5294946391805082,0.9519315235887424,0.5333333333333333
heldout_worst_band,STATIC,0.5281518256301477,0.005200694517607985,0.5294946391805082,,
heldout_worst_band,COEVOLVE_FROZEN,0.5294946391805082,0.0,0.5294946391805082,0.6346210157258283,0.5333333333333333
heldout_worst_band,COEVOLVE,0.5281518256301477,0.005200694517607985,0.5294946391805082,1.0,0.5
