metric,method_with,method_without,mean_with,mean_without,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,STATIC,STATIC_NOCLOSURE,0.5252159568678025,0.503694829054878,0.02152112781292459,7.450580596923828e-09,1.0,True
heldout_uniform_mean,COEVOLVE,COEVOLVE_NOCLOSURE,0.5252296260113574,0.503694829054878,0.02153479695647942,5.587935447692871e-09,1.0,True
heldout_worst_band,STATIC,STATIC_NOCLOSURE,0.5200339758508304,0.5022782823415786,0.01775569350925188,3.725290298461914e-09,1.0,True
heldout_worst_band,COEVOLVE,COEVOLVE_NOCLOSURE,0.520056031049277,0.5022782823415786,0.017777748707698438,1.862645149230957e-09,1.0,True
