metric,method_with,method_without,mean_with,mean_without,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,STATIC,STATIC_NOCLOSURE,0.5260335053902095,0.503694829054878,0.022338676335331598,7.450580596923828e-09,1.0,True
heldout_uniform_mean,COEVOLVE,COEVOLVE_NOCLOSURE,0.5258606636024719,0.503694829054878,0.02216583454759391,5.587935447692871e-09,1.0,True
heldout_worst_band,STATIC,STATIC_NOCLOSURE,0.52081465763892,0.5022782823415786,0.018536375297341423,3.725290298461914e-09,1.0,True
heldout_worst_band,COEVOLVE,COEVOLVE_NOCLOSURE,0.5197821053276411,0.5022782823415786,0.017503822986062567,1.862645149230957e-09,1.0,True
