metric,method,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
heldout_uniform_mean,most_played_baseline,0.4957890488241229,5.745950043620392e-17,0.49578904882412295,0.00018310546875,0.0
heldout_uniform_mean,GREEDY_HILLCLIMB,0.5344664389496268,0.013542677641296224,0.5434325291051051,0.189208984375,0.6711111111111111
heldout_uniform_mean,STATIC,0.5246452708402212,0.011396164245831588,0.5189056944654101,,
heldout_uniform_mean,COEVOLVE,0.5253277109171989,0.012535463121677847,0.5179951401459667,0.48870849609375,0.38666666666666666
heldout_worst_band,most_played_baseline,0.49212096107192677,5.745950043620392e-17,0.4921209610719267,0.00018310546875,0.0
heldout_worst_band,GREEDY_HILLCLIMB,0.5255736860498684,0.009938571781057904,0.531952434658522,0.060302734375,0.7066666666666667
heldout_worst_band,STATIC,0.5179511118867487,0.008478193159849325,0.5138157095338556,,
heldout_worst_band,COEVOLVE,0.518352887441059,0.009179781861421054,0.5130234784539043,0.5994873046875,0.4177777777777778
