gen,repertoire_diversity,opponent_diversity,hof_size
0,0.6486075472822488,0.46066054164245535,5.0
1,0.8354604712603598,0.44988091776141503,5.0
2,0.8139813119101967,0.428164029782427,5.0
3,0.6971709052910673,0.41268044575488966,5.0
4,0.6082900764721437,0.39170011517842174,5.0
5,0.5421788605103145,0.38151499680979195,5.0
6,0.5006514183362984,0.3747101410007311,5.0
7,0.46958112036373795,0.35907995967141665,5.0
8,0.46886405475886156,0.36225545225595474,5.0
9,0.4418278272812272,0.357687762756326,5.0
10,0.4164134458755966,0.3590916780554702,5.0
11,0.4014799031792843,0.3512546476074343,5.0
12,0.38868146450728863,0.3523846250906774,5.0
13,0.36899611354244727,0.3391058213955167,5.0
14,0.35910602179852114,0.3410472513412876,5.0
15,0.35577423615874443,0.33302991699196555,5.0
16,0.3740683357180965,0.33807488962074683,5.0
17,0.3753250183310604,0.3455540770665023,5.0
18,0.35777759889240424,0.3459194074188081,5.0
19,0.3630107526457114,0.3461912612501835,5.0
20,0.3493358449493666,0.34480214729322883,5.0
21,0.34524075764887246,0.3454316832688638,5.0
22,0.34130448968524074,0.3384058059686229,5.0
23,0.32472515753563314,0.33000646030052977,5.0
24,0.3022374119656518,0.33957829525158556,5.0
25,0.3022568458691089,0.3439538806412081,5.0
26,0.30730260313329577,0.34256601126347175,5.0
27,0.3194621324201467,0.3489730657729917,5.0
28,0.33417941844823723,0.3583204829377927,5.0
29,0.3034860761011403,0.3562511937662209,5.0
30,0.3048380754218558,0.3556313169713086,5.0
31,0.29838030145873307,0.3500960584086703,5.0
32,0.2846212848523009,0.3423595021922869,5.0
33,0.27143148393409683,0.3446812487773389,5.0
34,0.2870283913107393,0.3417065860042613,5.0
35,0.2722074541735452,0.3439185514696955,5.0
36,0.2826786947724296,0.3414110857535352,5.0
37,0.2824062069659201,0.3421145142494127,5.0
38,0.2728785512243289,0.3430977389979441,5.0
39,0.250110620111466,0.33982514488159565,5.0
40,0.23555585187574174,0.34893347065974734,5.0
41,0.25794601255628236,0.34808677025505813,5.0
42,0.24806163851084173,0.3425960588945934,5.0
43,0.23612397460921336,0.3373297827722829,5.0
44,0.22881963772043443,0.341467819712541,5.0
45,0.23122971267931058,0.3511715673854877,5.0
46,0.2176954478401801,0.34092737583545285,5.0
47,0.2159798178782516,0.337299670342965,5.0
48,0.21746348378515673,0.3383106521671051,5.0
49,0.208132001884962,0.3350254437520138,5.0
50,0.21926154766622483,0.339857769198646,5.0
51,0.19738436789321379,0.34791815282103006,5.0
52,0.19419050086789294,0.3436972559408709,5.0
53,0.18059008135781454,0.3432449705569355,5.0
54,0.18834139497035438,0.3536777049716648,5.0
55,0.20306193339337672,0.3498875773972238,5.0
56,0.18801077843592973,0.35055789362734546,5.0
57,0.15620066167777938,0.34311603896088544,5.0
58,0.15279283694759566,0.3464681148193141,5.0
59,0.16130547547046206,0.3388946321985493,5.0
