metric,method_with,method_without,mean_with,mean_without,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,STATIC,STATIC_NOCLOSURE,0.5258244451219808,0.5036948290548781,0.02212961606710273,0.25,1.0,False
heldout_uniform_mean,COEVOLVE,COEVOLVE_NOCLOSURE,0.5251301954255972,0.5036948290548781,0.02143536637071919,0.1875,1.0,False
heldout_worst_band,STATIC,STATIC_NOCLOSURE,0.5207823522066746,0.5022782823415787,0.018504069865095896,0.125,1.0,False
heldout_worst_band,COEVOLVE,COEVOLVE_NOCLOSURE,0.5208581081718782,0.5022782823415787,0.01857982583029949,0.0625,1.0,False
