metric,method_a,method_b,mean_a,mean_b,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,most_played_baseline,RANDOM_SEARCH,0.4921729896835806,0.5178453330819404,-0.025672343398359776,0.625,0.0,False
heldout_uniform_mean,most_played_baseline,GREEDY_HILLCLIMB,0.4921729896835806,0.5241205259159427,-0.03194753623236213,0.5625,0.0,False
heldout_uniform_mean,most_played_baseline,STATIC,0.4921729896835806,0.5258244451219808,-0.0336514554384002,0.5,0.0,False
heldout_uniform_mean,most_played_baseline,COEVOLVE,0.4921729896835806,0.5251301954255972,-0.03295720574201666,0.4375,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5178453330819404,0.5241205259159427,-0.006275192834002352,0.375,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,STATIC,0.5178453330819404,0.5258244451219808,-0.007979112040040426,0.3125,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,COEVOLVE,0.5178453330819404,0.5251301954255972,-0.007284862343656884,0.25,0.0,False
heldout_uniform_mean,GREEDY_HILLCLIMB,STATIC,0.5241205259159427,0.5258244451219808,-0.0017039192060380737,0.25,0.12,False
heldout_uniform_mean,GREEDY_HILLCLIMB,COEVOLVE,0.5241205259159427,0.5251301954255972,-0.0010096695096545316,0.1875,0.24,False
heldout_uniform_mean,STATIC,COEVOLVE,0.5258244451219808,0.5251301954255972,0.0006942496963835421,0.4375,0.52,False
heldout_worst_band,most_played_baseline,RANDOM_SEARCH,0.48787251651859975,0.5134617865869636,-0.025589270068363867,0.625,0.0,False
heldout_worst_band,most_played_baseline,GREEDY_HILLCLIMB,0.48787251651859975,0.5202453371013928,-0.032372820582793005,0.5625,0.0,False
heldout_worst_band,most_played_baseline,STATIC,0.48787251651859975,0.5207823522066746,-0.03290983568807482,0.5,0.0,False
heldout_worst_band,most_played_baseline,COEVOLVE,0.48787251651859975,0.5208581081718782,-0.03298559165327841,0.4375,0.0,False
heldout_worst_band,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5134617865869636,0.5202453371013928,-0.0067835505144291375,0.375,0.0,False
heldout_worst_band,RANDOM_SEARCH,STATIC,0.5134617865869636,0.5207823522066746,-0.00732056561971095,0.3125,0.0,False
heldout_worst_band,RANDOM_SEARCH,COEVOLVE,0.5134617865869636,0.5208581081718782,-0.007396321584914545,0.25,0.0,False
heldout_worst_band,GREEDY_HILLCLIMB,STATIC,0.5202453371013928,0.5207823522066746,-0.0005370151052818128,1.0,0.4,False
heldout_worst_band,GREEDY_HILLCLIMB,COEVOLVE,0.5202453371013928,0.5208581081718782,-0.0006127710704854072,0.875,0.28,False
heldout_worst_band,STATIC,COEVOLVE,0.5207823522066746,0.5208581081718782,-7.57559652035944e-05,1.0,0.44,False
