gen,repertoire_diversity,opponent_diversity,hof_size
0,0.845170178499463,0.48586709369312536,10.0
1,0.8631441964249943,0.4856559774420516,10.0
2,0.7707810760156157,0.47379202100981355,10.0
3,0.5928141973180562,0.4533705983300754,10.0
4,0.43098072741406046,0.46457132832931014,10.0
5,0.4106815906484174,0.4641247645366926,10.0
6,0.3657318860925032,0.4658151774732063,10.0
7,0.4488350878716229,0.4730693871824984,10.0
8,0.39591765472376084,0.4550117958809026,10.0
9,0.49063827863537357,0.44898171551479293,10.0
10,0.4083266890354139,0.47965724686518313,10.0
11,0.3593412449475376,0.4562403616074587,10.0
12,0.34973699215204695,0.44751417674619043,10.0
13,0.3777046529009386,0.4489100597405855,10.0
14,0.40872310311642757,0.4579606908421424,10.0
15,0.40017874224685784,0.46591098958180677,10.0
16,0.4000488688141165,0.4766584026037558,10.0
17,0.4085164318445231,0.465402596624467,10.0
18,0.32891416734888057,0.4756708180183532,10.0
19,0.3684401314392297,0.47026263113798566,10.0
20,0.307379259101742,0.4439945021994485,10.0
21,0.3901548748054916,0.46771900723500215,10.0
22,0.28041770203150634,0.4644551056742639,10.0
23,0.4522615498324504,0.46345934663247756,10.0
24,0.1742401354395268,0.4701215250138987,10.0
25,0.509299143103854,0.4590185913601884,10.0
26,0.3263466683312176,0.4858900389637516,10.0
27,0.39086951170638007,0.4722535303953057,10.0
28,0.25841241767537404,0.4641247382115178,10.0
29,0.43430053306419636,0.4529307460092764,10.0
30,0.28686785870881126,0.43545824886440776,10.0
31,0.46712399165886637,0.4605091298351649,10.0
32,0.2294423314304248,0.46492346501459664,10.0
33,0.4311585197608525,0.4582079590035023,10.0
34,0.2715898420324573,0.4775195824309608,10.0
35,0.422118932427051,0.5051771337666053,10.0
36,0.2552503040463003,0.48206308134716824,10.0
37,0.3689217047828293,0.4920625888295236,10.0
38,0.3776769824476184,0.5016709952962509,10.0
39,0.381621066188439,0.4809088120205266,10.0
40,0.22895800222186208,0.4721451359137225,10.0
41,0.4708701947484656,0.47273279940836177,10.0
42,0.2252862411101367,0.47368160345773724,10.0
43,0.4742414056209922,0.46499787954129673,10.0
44,0.21479017409043905,0.44331235046347456,10.0
45,0.4555225376566532,0.4586984146387797,10.0
46,0.21413197637356038,0.4710288117930933,10.0
47,0.45686572918260493,0.48272632903244495,10.0
48,0.26106957697262045,0.45795956568412455,10.0
49,0.4347616442608208,0.45577319015025564,10.0
50,0.2472514963217553,0.43566600084573254,10.0
51,0.3832136886440209,0.4357801642751854,10.0
52,0.3359723137958615,0.46624044985834245,10.0
53,0.382619112871189,0.4474450732947212,10.0
54,0.32454896337349426,0.4723992370249045,10.0
55,0.43853014179402805,0.4858498733961949,10.0
56,0.30387154002802835,0.47178122754715685,10.0
57,0.3364257771400123,0.48111697186990277,10.0
58,0.34261088689033226,0.4599102077636611,10.0
59,0.35933190247461616,0.4550203312820867,10.0
60,0.3467295189394809,0.44803219089836566,10.0
61,0.3356703047650141,0.4503879083132514,10.0
62,0.3345524612848711,0.4414193066476845,10.0
63,0.34147809627177506,0.48705959180952646,10.0
64,0.32254628406853936,0.46881497081795603,10.0
65,0.30706113945091185,0.4469882162662098,10.0
66,0.3713535029958065,0.45528398462348846,10.0
67,0.3016130632326556,0.4460238398616071,10.0
68,0.3867341912053477,0.4678855332096822,10.0
69,0.3180458610236908,0.45550114669752384,10.0
70,0.38114062298559304,0.44014762685141695,10.0
71,0.3450519191860654,0.453477643652766,10.0
72,0.3889874294038787,0.47331650002400416,10.0
73,0.3329096318105708,0.4738692152119319,10.0
74,0.2892069636191582,0.47114871932521785,10.0
75,0.3948028336112178,0.4626617402874132,10.0
76,0.29929668878357124,0.46127332477149663,10.0
77,0.311155545432708,0.4544382572464144,10.0
78,0.39694200895878656,0.45479762238427457,10.0
79,0.31567399196078055,0.46659207803541525,10.0
80,0.3830858228898463,0.4765141908133992,10.0
81,0.3106017615837101,0.46547856667180965,10.0
82,0.40015282282357506,0.47382493435986756,10.0
83,0.3298176725031684,0.4587499050399696,10.0
84,0.39259037739489705,0.48375213220533925,10.0
85,0.2980433113197983,0.48291715541011426,10.0
86,0.34532342562089113,0.4795625958672261,10.0
87,0.35289753753066994,0.4852521636313221,10.0
88,0.2910784452371021,0.46638889734778904,10.0
89,0.40382173065210153,0.45493165180011885,10.0
90,0.3092972731007066,0.47725993411603873,10.0
91,0.40083592583231564,0.48413366147130443,10.0
92,0.2237269109672754,0.47075396712644296,10.0
93,0.4593450117568193,0.48001095533987803,10.0
94,0.2363772990634732,0.4772332712312609,10.0
95,0.47870503754054583,0.45891424775783474,10.0
96,0.2621500800768301,0.46122350466125334,10.0
97,0.4123818703483444,0.4755407776977857,10.0
98,0.2614876295178,0.47013815364911,10.0
99,0.40604708721715355,0.4728795963914048,10.0
