gen,repertoire_diversity,opponent_diversity,hof_size
0,0.8305482267907088,0.5304270399820973,10.0
1,0.8528396025702363,0.5375294607653729,10.0
2,0.8342377412800212,0.5297530285850561,10.0
3,0.7962106506173658,0.5244903288786298,10.0
4,0.757279551722148,0.5274005533291893,10.0
5,0.7263907676853846,0.5252501981585634,10.0
6,0.6626552007646811,0.5297408059335005,10.0
7,0.6288260828961495,0.5263909445390597,10.0
8,0.6023184598552648,0.5224845052503013,10.0
9,0.5564096784925797,0.5293814332184291,10.0
10,0.5544361845026895,0.5300749259529033,10.0
11,0.5330867807775046,0.5230798781858825,10.0
12,0.555981696228807,0.525657873864182,10.0
13,0.5505251757881777,0.5245492534517793,10.0
14,0.4980299239294078,0.5299755801760412,10.0
15,0.4893313380070237,0.5277384295975189,10.0
16,0.46954494911380323,0.5382770169438519,10.0
17,0.4514818830288947,0.5355456661877366,10.0
18,0.4171411472188249,0.5322894005784822,10.0
19,0.46086784790365515,0.530930594491643,10.0
20,0.4311989576531145,0.5253112655030027,10.0
21,0.4267434164213641,0.5299819173415783,10.0
22,0.42625275205404345,0.5294258389501335,10.0
23,0.41286738952896324,0.5227889532310376,10.0
24,0.4287033808393499,0.5310182686926201,10.0
25,0.39964174219605303,0.5226943024510192,10.0
26,0.38972049401236647,0.5247634279497371,10.0
27,0.39754981321746186,0.5241589624047313,10.0
28,0.3815758284002918,0.5366006195440505,10.0
29,0.3824932012621962,0.5349203358729842,10.0
30,0.4546571600532599,0.5359813869423051,10.0
31,0.3816898569795191,0.524437893262419,10.0
32,0.39740954471583706,0.5245505116431707,10.0
33,0.42318689986701336,0.5280694117850337,10.0
34,0.42512272321128364,0.5262503755375657,10.0
35,0.38403858102812477,0.5269941046973547,10.0
36,0.3947497777622467,0.5213588676380205,10.0
37,0.38234021554186476,0.5270097708205204,10.0
38,0.4075945871070991,0.5336100757193627,10.0
39,0.37145259033721545,0.5267388299768047,10.0
40,0.4177611891012935,0.5230981443058575,10.0
41,0.3778554170800402,0.532874121382599,10.0
42,0.3968410941706207,0.532127097073522,10.0
43,0.3478463133659043,0.5269191904889016,10.0
44,0.41094275260178253,0.529096745757151,10.0
45,0.39685948438220475,0.5313575130674402,10.0
46,0.387058187732731,0.5275544562020003,10.0
47,0.37939964381256713,0.52714952726646,10.0
48,0.391820664036541,0.5341040534599127,10.0
49,0.39392962939099774,0.5266363694901599,10.0
