method,n_seeds,mean_s,std_s,min_s,max_s,mean_min
most_played_baseline,1,0.04782271385192871,0.0,0.04782271385192871,0.04782271385192871,0.0007970452308654786
RANDOM_SEARCH,1,3.4086291790008545,0.0,3.4086291790008545,3.4086291790008545,0.05681048631668091
GREEDY_HILLCLIMB,1,1.1850578784942627,0.0,1.1850578784942627,1.1850578784942627,0.019750964641571046
STATIC,1,2.7424635887145996,0.0,2.7424635887145996,2.7424635887145996,0.04570772647857666
COEVOLVE,1,99.4054274559021,0.0,99.4054274559021,99.4054274559021,1.656757124265035
