metric,method_a,method_b,mean_a,mean_b,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,most_played_baseline,RANDOM_SEARCH,0.4979139729612889,0.5219336180296369,-0.024019645068347972,1.862645149230957e-08,0.0,True
heldout_uniform_mean,most_played_baseline,GREEDY_HILLCLIMB,0.4979139729612889,0.5269807749582864,-0.029066801996997516,1.6763806343078613e-08,0.0,True
heldout_uniform_mean,most_played_baseline,STATIC,0.4979139729612889,0.5268775817681177,-0.0289636088068288,1.4901161193847656e-08,0.0,True
heldout_uniform_mean,most_played_baseline,COEVOLVE,0.4979139729612889,0.5271701250569756,-0.02925615209568666,1.30385160446167e-08,0.0,True
heldout_uniform_mean,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5219336180296369,0.5269807749582864,-0.005047156928649543,1.043081283569336e-07,0.07222222222222222,True
heldout_uniform_mean,RANDOM_SEARCH,STATIC,0.5219336180296369,0.5268775817681177,-0.004943963738480828,2.7939677238464355e-08,0.05555555555555555,True
heldout_uniform_mean,RANDOM_SEARCH,COEVOLVE,0.5219336180296369,0.5271701250569756,-0.005236507027338688,1.1175870895385742e-08,0.03222222222222222,True
heldout_uniform_mean,GREEDY_HILLCLIMB,STATIC,0.5269807749582864,0.5268775817681177,0.00010319319016871553,1.0,0.5355555555555556,False
heldout_uniform_mean,GREEDY_HILLCLIMB,COEVOLVE,0.5269807749582864,0.5271701250569756,-0.00018935009868914499,0.9838335812091827,0.51,False
heldout_uniform_mean,STATIC,COEVOLVE,0.5268775817681177,0.5271701250569756,-0.0002925432888578605,1.0,0.4488888888888889,False
heldout_worst_band,most_played_baseline,RANDOM_SEARCH,0.4934934325701779,0.5150901415725841,-0.021596709002406234,1.862645149230957e-08,0.0,True
heldout_worst_band,most_played_baseline,GREEDY_HILLCLIMB,0.4934934325701779,0.5208578626972024,-0.02736443012702444,1.6763806343078613e-08,0.0,True
heldout_worst_band,most_played_baseline,STATIC,0.4934934325701779,0.5209456210372144,-0.02745218846703651,1.4901161193847656e-08,0.0,True
heldout_worst_band,most_played_baseline,COEVOLVE,0.4934934325701779,0.5210569958146467,-0.02756356324446879,1.30385160446167e-08,0.0,True
heldout_worst_band,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5150901415725841,0.5208578626972024,-0.005767721124618208,1.1175870895385742e-08,0.01888888888888889,True
heldout_worst_band,RANDOM_SEARCH,STATIC,0.5150901415725841,0.5209456210372144,-0.0058554794646302755,9.313225746154785e-09,0.008888888888888889,True
heldout_worst_band,RANDOM_SEARCH,COEVOLVE,0.5150901415725841,0.5210569958146467,-0.005966854242062558,3.725290298461914e-08,0.008888888888888889,True
heldout_worst_band,GREEDY_HILLCLIMB,STATIC,0.5208578626972024,0.5209456210372144,-8.775834001206739e-05,1.0,0.5033333333333333,False
heldout_worst_band,GREEDY_HILLCLIMB,COEVOLVE,0.5208578626972024,0.5210569958146467,-0.00019913311744435003,0.9515264742076397,0.4711111111111111,False
heldout_worst_band,STATIC,COEVOLVE,0.5209456210372144,0.5210569958146467,-0.00011137477743228263,1.0,0.4711111111111111,False
