method,n_seeds,mean_s,std_s,min_s,max_s,mean_min
most_played_baseline,1,0.10220217704772949,0.0,0.10220217704772949,0.10220217704772949,0.0017033696174621582
RANDOM_SEARCH,1,9.422012567520142,0.0,9.422012567520142,9.422012567520142,0.15703354279200235
GREEDY_HILLCLIMB,1,3.864262104034424,0.0,3.864262104034424,3.864262104034424,0.06440436840057373
STATIC,1,14.649179697036743,0.0,14.649179697036743,14.649179697036743,0.24415299495061238
COEVOLVE,1,539.8761467933655,0.0,539.8761467933655,539.8761467933655,8.997935779889424
