metric,method_with,method_without,mean_with,mean_without,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,STATIC,STATIC_NOCLOSURE,0.5265054747992289,0.5036948290548781,0.022810645744350877,1.0,1.0,False
heldout_uniform_mean,COEVOLVE,COEVOLVE_NOCLOSURE,0.5260901945788474,0.5036948290548781,0.02239536552396937,1.0,1.0,False
heldout_worst_band,STATIC,STATIC_NOCLOSURE,0.5221568698746158,0.5022782823415787,0.019878587533037173,1.0,1.0,False
heldout_worst_band,COEVOLVE,COEVOLVE_NOCLOSURE,0.5214828880554288,0.5022782823415787,0.019204605713850076,0.5,1.0,False
