metric,method_a,method_b,mean_a,mean_b,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,most_played_baseline,RANDOM_SEARCH,,,,,,False
heldout_uniform_mean,most_played_baseline,GREEDY_HILLCLIMB,,,,,,False
heldout_uniform_mean,most_played_baseline,STATIC,,,,,,False
heldout_uniform_mean,most_played_baseline,COEVOLVE,,,,,,False
heldout_uniform_mean,RANDOM_SEARCH,GREEDY_HILLCLIMB,,,,,,False
heldout_uniform_mean,RANDOM_SEARCH,STATIC,,,,,,False
heldout_uniform_mean,RANDOM_SEARCH,COEVOLVE,,,,,,False
heldout_uniform_mean,GREEDY_HILLCLIMB,STATIC,,,,,,False
heldout_uniform_mean,GREEDY_HILLCLIMB,COEVOLVE,,,,,,False
heldout_uniform_mean,STATIC,COEVOLVE,,,,,,False
heldout_worst_band,most_played_baseline,RANDOM_SEARCH,,,,,,False
heldout_worst_band,most_played_baseline,GREEDY_HILLCLIMB,,,,,,False
heldout_worst_band,most_played_baseline,STATIC,,,,,,False
heldout_worst_band,most_played_baseline,COEVOLVE,,,,,,False
heldout_worst_band,RANDOM_SEARCH,GREEDY_HILLCLIMB,,,,,,False
heldout_worst_band,RANDOM_SEARCH,STATIC,,,,,,False
heldout_worst_band,RANDOM_SEARCH,COEVOLVE,,,,,,False
heldout_worst_band,GREEDY_HILLCLIMB,STATIC,,,,,,False
heldout_worst_band,GREEDY_HILLCLIMB,COEVOLVE,,,,,,False
heldout_worst_band,STATIC,COEVOLVE,,,,,,False
