metric,method_with,method_without,mean_with,mean_without,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,STATIC,STATIC_NOCLOSURE,0.5268775817681177,0.503694829054878,0.023182752713239774,7.450580596923828e-09,1.0,True
heldout_uniform_mean,COEVOLVE,COEVOLVE_NOCLOSURE,0.5271701250569756,0.503694829054878,0.023475296002097634,5.587935447692871e-09,1.0,True
heldout_worst_band,STATIC,STATIC_NOCLOSURE,0.5209456210372144,0.5022782823415786,0.01866733869563586,3.725290298461914e-09,1.0,True
heldout_worst_band,COEVOLVE,COEVOLVE_NOCLOSURE,0.5210569958146467,0.5022782823415786,0.018778713473068143,1.862645149230957e-09,1.0,True
