method,seed,heldout_score,per_game_mean,per_game_worst_decile,per_game_worst_band_mean,per_game_std,sim_mean,sim_std,sim_worst_decile,sim_truncated_frac
COEVOLVE,1000,1.0230356529560583,0.5132879251783306,0.4791444109242816,0.5097560420240663,0.03162203814181575,0.5096042537311753,0.12376031904540614,0.5208555890757184,0.94
COEVOLVE,1001,1.0267388615219204,0.5133914970610801,0.4791444109242816,0.5117074767610041,0.031857676570479936,0.5208555890757185,1.1102230246251565e-16,0.5208555890757184,1.0
COEVOLVE,1002,1.0244619115600848,0.5135153259260498,0.4791444109242816,0.5086404308762328,0.032473510342285586,0.5400213655126898,0.09389274558967328,0.5208555890757184,0.96
COEVOLVE,1003,1.0219019877547997,0.5115669163730993,0.4791444109242816,0.5111202645942587,0.024971503325940485,0.5000213655126897,0.10206643383298095,0.5208555890757184,0.96
COEVOLVE,1004,1.0222815865096164,0.5118084762321425,0.4791444109242816,0.5092164699967843,0.026746051433268324,0.5200213655126897,0.10008347663263252,0.5208555890757184,0.96
COEVOLVE,1005,1.0242991328471058,0.5131202978006756,0.4791444109242816,0.5095878646697548,0.035009825986177176,,,,
COEVOLVE,1006,1.0224713685980573,0.5119989505425091,0.4791444109242816,0.5109207252102099,0.028306848527743112,,,,
COEVOLVE,1007,1.0274235860230128,0.5147350339409424,0.4791444109242816,0.5119431225862486,0.031150177046142265,,,,
COEVOLVE,1008,1.0260794002570575,0.5140126875228652,0.4791444109242816,0.5128100029963634,0.030154969446396042,,,,
COEVOLVE,1009,1.022799564445735,0.5127483037091656,0.4791444109242816,0.5093584631543652,0.03270144317785718,,,,
COEVOLVE,1010,1.0274670222324596,0.5135799639427753,0.4791444109242816,0.5119491405634569,0.029902329725346524,,,,
COEVOLVE,1011,1.0232264087168175,0.5119606145937794,0.4791444109242816,0.5107609413815033,0.027849697861054085,,,,
COEVOLVE,1012,1.0257462438550466,0.5135267796012153,0.4791444109242816,0.5121036585490717,0.03292513308377127,,,,
COEVOLVE,1013,1.0302789132373453,0.5151495026495009,0.4791444109242816,0.5128825681534802,0.034861683348954974,,,,
COEVOLVE,1014,1.023447274956536,0.5118650635899007,0.4791444109242816,0.5087649843200753,0.028965343919524735,,,,
COEVOLVE,2000,0.5132743878057581,0.5129083091607042,0.4791444109242816,0.5111694835656845,0.03293550316092784,,,,
COEVOLVE,2000,1.026034215959616,0.5141717726186332,0.4791444109242816,0.5125084062654622,0.02807070574044071,,,,
COEVOLVE,2000,1.5202573914763906,0.5088115284770935,0.4791444109242816,0.5066376610831231,0.028401754985364604,,,,
COEVOLVE,2001,0.5141628901315578,0.5128627439118889,0.4791444109242816,0.5111297872445352,0.03277614336444729,,,,
COEVOLVE,2001,1.0227937886854712,0.5112777215779503,0.4791444109242816,0.5092421622779059,0.028544748296129394,,,,
COEVOLVE,2001,1.5340313275254054,0.5111375414678588,0.4791444109242816,0.5089424656265379,0.027764713640176297,,,,
COEVOLVE,2002,0.5136591426022539,0.5143092799874105,0.4791444109242816,0.510923522562705,0.03141839708136391,,,,
COEVOLVE,2002,1.0206805234145746,0.5105655566579512,0.4791444109242816,0.5100907603387707,0.02832948238869513,,,,
COEVOLVE,2002,1.5404126661107211,0.514485806066988,0.4791444109242816,0.5122875290246103,0.03181018856799606,,,,
COEVOLVE,2003,0.5149074209708009,0.514990544607712,0.4791444109242816,0.512859776970894,0.03753327601122451,,,,
COEVOLVE,2003,1.0263479012364651,0.5131304661033501,0.4791444109242816,0.5119374853929589,0.031074564157684895,,,,
COEVOLVE,2003,1.5431120878472813,0.5147745659810603,0.4791444109242816,0.513460048863044,0.031220588582142852,,,,
COEVOLVE,2004,0.5117286094971405,0.5123289676533846,0.4791444109242816,0.5099213051411895,0.02466154632487729,,,,
COEVOLVE,2004,1.0185930571096642,0.5116809939524765,0.4791444109242816,0.5074039430173563,0.03546232757030278,,,,
COEVOLVE,2004,1.5368780062937746,0.5146029307245972,0.4791444109242816,0.5106643697494019,0.03674558100527678,,,,
COEVOLVE_B,1000,1.0292982073687464,0.5168451624654811,0.4791444109242816,0.514252128326179,0.0358239954371411,,,,
COEVOLVE_B,1001,1.024396604786691,0.512428122882771,0.4791444109242816,0.5104594073574518,0.02920984702410415,,,,
COEVOLVE_B,1002,1.027698434669641,0.5159537207838615,0.4791444109242816,0.5123972535740039,0.035839279762810775,,,,
COEVOLVE_B,1003,1.02566702134862,0.5129987053214108,0.4791444109242816,0.5118477808398126,0.031443934429337454,,,,
COEVOLVE_B,1004,1.0220459760503082,0.5115460635966464,0.4791444109242816,0.5097718073619617,0.028268570263668236,,,,
COEVOLVE_B,1005,1.0306552676088934,0.5162488251422208,0.4791444109242816,0.5141759410513093,0.03523676277854021,,,,
COEVOLVE_B,1006,1.0233891392651904,0.5130591228506565,0.4791444109242816,0.5115726804438643,0.029162184242103782,,,,
COEVOLVE_B,1007,1.0214398279268213,0.5125538159599327,0.4791444109242816,0.5106715853298236,0.03582185462165485,,,,
COEVOLVE_B,1008,1.0294928639439125,0.5160828430310637,0.4791444109242816,0.5128365241143256,0.033733651576240406,,,,
COEVOLVE_B,1009,1.0245354918205118,0.5128573291034493,0.4791444109242816,0.5093487389435871,0.0379554993075953,,,,
COEVOLVE_B,1010,1.0256107923986597,0.5132259846267568,0.4791444109242816,0.5123618781673245,0.032695065818806886,,,,
COEVOLVE_B,1011,1.0221497210617274,0.5120158480084743,0.4791444109242816,0.5069306122409825,0.030572643991694383,,,,
COEVOLVE_B,1012,1.025705825783143,0.5136587902634528,0.4791444109242816,0.5116785896386591,0.027186507172881784,,,,
COEVOLVE_B,1013,1.0256956219091267,0.5130886277155128,0.4791444109242816,0.5118168359551144,0.03149327261595792,,,,
COEVOLVE_B,1014,1.0242847217538869,0.513529204432704,0.4791444109242816,0.5096309238073955,0.03660283114772523,,,,
COEVOLVE_C,1000,1.0304366222147259,0.5169250303361476,0.4791444109242816,0.5145387455877858,0.03632103818899021,,,,
COEVOLVE_C,1001,1.0284177214253756,0.5144299810582089,0.4791444109242816,0.5129074836841965,0.030574728471621553,,,,
COEVOLVE_C,1002,1.0241823442926064,0.5148593360280875,0.4791444109242816,0.5110532126062138,0.036217602499676295,,,,
COEVOLVE_C,1003,1.0280243779480553,0.5154545022238519,0.4791444109242816,0.5135322440383803,0.0361947273405977,,,,
COEVOLVE_C,1004,1.022543782368584,0.5113345873170994,0.4791444109242816,0.5103899104933456,0.02755188170837204,,,,
COEVOLVE_C,1005,1.0287611766261806,0.516388141586137,0.4791444109242816,0.5137299184263091,0.03245172145672795,,,,
COEVOLVE_C,1006,1.0240379771634727,0.5123652122755878,0.4791444109242816,0.5116645168930073,0.028918233422412887,,,,
COEVOLVE_C,1007,1.0227939100167078,0.5131143715580408,0.4791444109242816,0.5117876746362238,0.029263311882306162,,,,
COEVOLVE_C,1008,1.017500333432412,0.5110849176774506,0.4791444109242816,0.5086590353884065,0.028000404364705772,,,,
COEVOLVE_C,1009,1.027226081010903,0.5132432365475584,0.4791444109242816,0.5112680166973362,0.03386386388492284,,,,
COEVOLVE_C,1010,1.019961360203581,0.5111415197081208,0.4791444109242816,0.5088969964524459,0.030401240253639866,,,,
COEVOLVE_C,1011,1.0258453602437152,0.5147214667414167,0.4791444109242816,0.511327067106536,0.033849812086313026,,,,
COEVOLVE_C,1012,1.0239544713787794,0.5114346050122961,0.4791444109242816,0.5098137585847611,0.031647126994606326,,,,
COEVOLVE_C,1013,1.0248761476484292,0.5140097328344033,0.4791444109242816,0.5113133151396733,0.03319077161786311,,,,
COEVOLVE_C,1014,1.0246456653449667,0.5124550851418977,0.4791444109242816,0.5094823869621914,0.02948093813471247,,,,
COEVOLVE_D,1000,1.0290166119966206,0.5172150390806475,0.4791444109242816,0.513603607419452,0.033898748966416745,0.5000213655126897,0.10206643383298096,0.5208555890757184,0.96
COEVOLVE_D,1001,1.0294817024263432,0.5151702074349697,0.4791444109242816,0.5139666035334213,0.032730843417667715,0.5296042537311753,0.12055059693329478,0.5208555890757184,0.94
COEVOLVE_D,1002,1.0245705071823599,0.5142893919311333,0.4791444109242816,0.5108727070907999,0.035929703252868275,0.5400213655126898,0.09389274558967328,0.5208555890757184,0.96
COEVOLVE_D,1003,1.0259697765582092,0.5138813341404843,0.4791444109242816,0.5121650120383939,0.03559702300878874,0.539187141949661,0.13734819639826631,0.5208555890757184,0.92
COEVOLVE_D,1004,1.0300766591176314,0.5169178993706943,0.4791444109242816,0.5132438760335696,0.03542820268218359,0.5400213655126898,0.09389274558967328,0.5208555890757184,0.96
COEVOLVE_D,1005,1.0230570820046907,0.5133739387400049,0.4791444109242816,0.5121428495468736,0.03286404235767154,,,,
COEVOLVE_D,1006,1.0308012840309053,0.515840700067714,0.4791444109242816,0.5127036652887158,0.035774627506270536,,,,
COEVOLVE_D,1007,1.027489851133798,0.5159467109829201,0.4791444109242816,0.5122829139175377,0.03618125296353445,,,,
COEVOLVE_D,1008,1.0208185351934296,0.5123326650656037,0.4791444109242816,0.5098505484764545,0.030564201511288303,,,,
COEVOLVE_D,1009,1.0292746320241095,0.515625201487353,0.4791444109242816,0.5137648445483655,0.036223035352459874,,,,
COEVOLVE_D,1010,1.0259617817504483,0.5133137887416414,0.4791444109242816,0.5120331596768198,0.03006199369641522,,,,
COEVOLVE_D,1011,1.0248883066860148,0.5130208179130865,0.4791444109242816,0.5092488893736671,0.03656374619302561,,,,
COEVOLVE_D,1012,1.0246180453448672,0.5128839444663998,0.4791444109242816,0.5100087959247607,0.02867121804490051,,,,
COEVOLVE_D,1013,1.0231498651734092,0.5131645277256658,0.4791444109242816,0.5118713879638015,0.032669820285221356,,,,
COEVOLVE_D,1014,1.0262884176102665,0.5134342874539224,0.4791444109242816,0.511660882917891,0.03609490957044278,,,,
COEVOLVE_FROZEN,1000,1.0246248926405652,0.5135123215511119,0.4791444109242816,0.5095065684647743,0.03616541584253433,,,,
COEVOLVE_FROZEN,1001,1.0265391628841702,0.5128537851865751,0.4791444109242816,0.5117942301170193,0.029742523561468923,,,,
COEVOLVE_FROZEN,1002,1.0233821216720091,0.51324700164529,0.4791444109242816,0.5089438656162083,0.037104399103242446,,,,
COEVOLVE_FROZEN,1003,1.024708270260657,0.5134164612181968,0.4791444109242816,0.5127095802276895,0.03160312029511624,,,,
COEVOLVE_FROZEN,1004,1.0266581914583566,0.5156243878586971,0.4791444109242816,0.5114756422062303,0.03179820615240718,,,,
COEVOLVE_FROZEN,1005,1.028352474053605,0.5158942103375658,0.4791444109242816,0.512995250268232,0.03534231741160781,,,,
COEVOLVE_FROZEN,1006,1.0246915931092442,0.513981965407825,0.4791444109242816,0.511598239849468,0.03609711727194318,,,,
COEVOLVE_FROZEN,1007,1.0275179684979896,0.5147671633944673,0.4791444109242816,0.5130542834176812,0.031228176326733886,,,,
COEVOLVE_FROZEN,1008,1.023981125150025,0.5119935826319878,0.4791444109242816,0.5116925838283585,0.02941127435962765,,,,
