Loading held-out artifacts ...
Loading runs ...
Loaded 151 runs.

== Probe A: per-game trajectory sampling ==
[A  62/151] COEVOLVE         s2001  pg_mean=0.5129  pg_q10=0.4791  (0.0s)
[A  63/151] COEVOLVE         s2002  pg_mean=0.5143  pg_q10=0.4791  (0.1s)
[A  64/151] COEVOLVE         s2003  pg_mean=0.5150  pg_q10=0.4791  (0.0s)
[A  65/151] COEVOLVE         s2004  pg_mean=0.5123  pg_q10=0.4791  (0.1s)
[A  66/151] COEVOLVE         s1000  pg_mean=0.5133  pg_q10=0.4791  (0.0s)
[A  67/151] COEVOLVE         s1001  pg_mean=0.5134  pg_q10=0.4791  (0.0s)
[A  68/151] COEVOLVE         s1002  pg_mean=0.5135  pg_q10=0.4791  (0.1s)
[A  69/151] COEVOLVE         s1003  pg_mean=0.5116  pg_q10=0.4791  (0.0s)
[A  70/151] COEVOLVE         s1004  pg_mean=0.5118  pg_q10=0.4791  (0.0s)
[A  71/151] COEVOLVE         s1005  pg_mean=0.5131  pg_q10=0.4791  (0.1s)
[A  72/151] COEVOLVE         s1006  pg_mean=0.5120  pg_q10=0.4791  (0.0s)
[A  73/151] COEVOLVE         s1007  pg_mean=0.5147  pg_q10=0.4791  (0.0s)
[A  74/151] COEVOLVE         s1008  pg_mean=0.5140  pg_q10=0.4791  (0.1s)
[A  75/151] COEVOLVE         s1009  pg_mean=0.5127  pg_q10=0.4791  (0.1s)
[A  76/151] COEVOLVE         s1010  pg_mean=0.5136  pg_q10=0.4791  (0.0s)
[A  77/151] COEVOLVE         s1011  pg_mean=0.5120  pg_q10=0.4791  (0.0s)
[A  78/151] COEVOLVE         s1012  pg_mean=0.5135  pg_q10=0.4791  (0.0s)
[A  79/151] COEVOLVE         s1013  pg_mean=0.5151  pg_q10=0.4791  (0.0s)
[A  80/151] COEVOLVE         s1014  pg_mean=0.5119  pg_q10=0.4791  (0.0s)
[A  81/151] COEVOLVE         s2000  pg_mean=0.5142  pg_q10=0.4791  (0.1s)
[A  82/151] COEVOLVE         s2001  pg_mean=0.5113  pg_q10=0.4791  (0.1s)
[A  83/151] COEVOLVE         s2002  pg_mean=0.5106  pg_q10=0.4791  (0.1s)
[A  84/151] COEVOLVE         s2003  pg_mean=0.5131  pg_q10=0.4791  (0.0s)
[A  85/151] COEVOLVE         s2004  pg_mean=0.5117  pg_q10=0.4791  (0.0s)
[A  86/151] COEVOLVE         s2000  pg_mean=0.5088  pg_q10=0.4791  (0.0s)
[A  87/151] COEVOLVE         s2001  pg_mean=0.5111  pg_q10=0.4791  (0.0s)
[A  88/151] COEVOLVE         s2002  pg_mean=0.5145  pg_q10=0.4791  (0.1s)
[A  89/151] COEVOLVE         s2003  pg_mean=0.5148  pg_q10=0.4791  (0.1s)
[A  90/151] COEVOLVE         s2004  pg_mean=0.5146  pg_q10=0.4791  (0.0s)
[A  91/151] most_played_baseline s1000  pg_mean=0.4979  pg_q10=0.4636  (0.1s)
[A  92/151] most_played_baseline s1001  pg_mean=0.4972  pg_q10=0.4638  (0.1s)
[A  93/151] most_played_baseline s1002  pg_mean=0.4978  pg_q10=0.4651  (0.1s)
[A  94/151] most_played_baseline s1003  pg_mean=0.4968  pg_q10=0.4638  (0.1s)
[A  95/151] most_played_baseline s1004  pg_mean=0.4975  pg_q10=0.4637  (0.0s)
