variant,gen,repertoire_diversity,opponent_diversity,hof_size,hof_mean_informativeness,opp_mean_perturbations
COEVOLVE,0,0.5915740612063497,0.5449784515660594,5.0,,
COEVOLVE,1,0.7315988690939067,0.5089703916723096,5.0,,
COEVOLVE,2,0.7129431149690604,0.4717779713379537,5.0,,
COEVOLVE,3,0.5984351695877176,0.43657175295070694,5.0,,
COEVOLVE,4,0.5218521283861753,0.42916144287108265,5.0,,
COEVOLVE,5,0.45716141173887864,0.4114161470254733,5.0,,
COEVOLVE,6,0.4127897177207701,0.4072670529886084,5.0,,
COEVOLVE,7,0.3796889943979879,0.39015143815871894,5.0,,
COEVOLVE,8,0.34705108593784917,0.3529739601719996,5.0,,
COEVOLVE,9,0.34527710443599935,0.3536794694515668,5.0,,
COEVOLVE,10,0.35387813490698405,0.3480886474427791,5.0,,
COEVOLVE,11,0.3527724971973012,0.3635671285122642,5.0,,
COEVOLVE,12,0.29875779616283604,0.3438788435967208,5.0,,
COEVOLVE,13,0.2619284171120736,0.33540501888391283,5.0,,
COEVOLVE,14,0.2986447818391658,0.3280962314696163,5.0,,
COEVOLVE,15,0.28158196060924073,0.32891038839712256,5.0,,
COEVOLVE,16,0.26919767338361983,0.3168929750359997,5.0,,
COEVOLVE,17,0.2298119911708079,0.3143026325327958,5.0,,
COEVOLVE,18,0.2647220554952129,0.2969074549188201,5.0,,
COEVOLVE,19,0.2374159835905684,0.29918505262388295,5.0,,
COEVOLVE,20,0.20544519547147383,0.3005988824233577,5.0,,
COEVOLVE,21,0.23571691138207124,0.29760572000411295,5.0,,
COEVOLVE,22,0.2054138869580396,0.3019082373653,5.0,,
COEVOLVE,23,0.21067660883967895,0.29909089109100556,5.0,,
COEVOLVE,24,0.17840884904979035,0.290343015588107,5.0,,
COEVOLVE,25,0.203769296483494,0.29125092426134985,5.0,,
COEVOLVE,26,0.16298021476499583,0.29087440455046315,5.0,,
COEVOLVE,27,0.16046812952124553,0.2896604425011271,5.0,,
COEVOLVE,28,0.16956195038031252,0.28799739698174337,5.0,,
COEVOLVE,29,0.1906224654723484,0.2870900506095421,5.0,,
COEVOLVE,30,0.15086695991625085,0.29148059640249907,5.0,,
COEVOLVE,31,0.14357803148264175,0.28182811896870935,5.0,,
COEVOLVE,32,0.18660227086157496,0.2917883886051712,5.0,,
COEVOLVE,33,0.1392912845362536,0.2892579524930023,5.0,,
COEVOLVE,34,0.1224244145331764,0.3002412349574177,5.0,,
COEVOLVE,35,0.13077262223820682,0.28602817840869543,5.0,,
COEVOLVE,36,0.12011629181128118,0.3016869842490432,5.0,,
COEVOLVE,37,0.13376074187117065,0.2834824909660308,5.0,,
COEVOLVE,38,0.15545319146951045,0.2782289618979919,5.0,,
COEVOLVE,39,0.14135077868817397,0.28518001969976586,5.0,,
COEVOLVE,40,0.1830183286019551,0.2781774818872641,5.0,,
COEVOLVE,41,0.19090415415120493,0.2808954270201606,5.0,,
COEVOLVE,42,0.18078543355490412,0.2895686537544251,5.0,,
COEVOLVE,43,0.16811603954253718,0.2852254112276345,5.0,,
COEVOLVE,44,0.1274012822316958,0.2879711037629817,5.0,,
COEVOLVE,45,0.121322165636685,0.2970456445372905,5.0,,
COEVOLVE,46,0.14025133875219675,0.2905561464528692,5.0,,
COEVOLVE,47,0.12915738435460292,0.2878028534449289,5.0,,
COEVOLVE,48,0.11317913681873913,0.2846018063216267,5.0,,
COEVOLVE,49,0.18080515608433642,0.28200169443997974,5.0,,
