metric,method,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
heldout_uniform_mean,most_played_baseline,0.49766720396426345,0.00013923948981858095,0.4976312524825833,0.0006103515625,0.0
heldout_uniform_mean,STATIC,0.5139723751119103,0.0015526601018571798,0.5138895742570725,,
heldout_uniform_mean,STATIC_DIV,0.5129719686174307,0.0015909331495964371,0.5124564311503862,0.2412109375,0.32
heldout_uniform_mean,COEVOLVE_FROZEN,0.5139065867377587,0.0012354633982076602,0.513817688446244,1.0,0.5155555555555555
heldout_uniform_mean,COEVOLVE,0.5132655009176157,0.0012900587213961036,0.5133503268180265,0.416259765625,0.3688888888888889
heldout_uniform_mean,COEVOLVE_B,0.5138187430688778,0.0013203020751903715,0.5135320309816381,0.97796630859375,0.4666666666666667
heldout_uniform_mean,COEVOLVE_C,0.5134799596089485,0.0015775842294214139,0.5135125617663209,1.0,0.4222222222222222
heldout_uniform_mean,COEVOLVE_D,0.5143135531651214,0.0014055091164814346,0.5141240428814987,1.0,0.5866666666666667
heldout_uniform_mean,STATIC_STYLE,0.5121599277803591,0.0016099087008895675,0.5119539494209148,0.0054931640625,0.23555555555555555
heldout_uniform_mean,COEVOLVE_STYLE,0.5122402169326985,0.002159084265551731,0.5125224492422863,0.33538818359375,0.28888888888888886
heldout_uniform_mean,COEVOLVE_STYLE_D,0.5127586310585369,0.0018136309687846737,0.5129038106685964,0.43798828125,0.3466666666666667
heldout_worst_band,most_played_baseline,0.4964584229732757,6.775765480452223e-05,0.4964409280220333,0.0006103515625,0.0
heldout_worst_band,STATIC,0.5123846170060259,0.00142864725462534,0.5123895697991062,,
heldout_worst_band,STATIC_DIV,0.5113326228313689,0.0016455829714363407,0.5109245114966385,0.38232421875,0.29333333333333333
heldout_worst_band,COEVOLVE_FROZEN,0.5120434827882817,0.0012062851869601382,0.5118773229284554,0.6605224609375,0.44
heldout_worst_band,COEVOLVE,0.5115117601138278,0.0012992098273295572,0.5109332172242856,0.364990234375,0.29777777777777775
heldout_worst_band,COEVOLVE_B,0.511652291444181,0.0015752130577569889,0.5115203246203515,0.90838623046875,0.37333333333333335
heldout_worst_band,COEVOLVE_C,0.5114005291456178,0.0019429828243475139,0.5113284416587796,0.67529296875,0.36444444444444446
heldout_worst_band,COEVOLVE_D,0.5120506507170856,0.001633979082150511,0.5121643747287679,0.52447509765625,0.4088888888888889
heldout_worst_band,STATIC_STYLE,0.5095804685746581,0.0016523688973564573,0.5095181908039182,0.0010986328125,0.10666666666666667
heldout_worst_band,COEVOLVE_STYLE,0.509557225399686,0.0023793733390658858,0.5099986257521025,0.02685546875,0.12444444444444444
heldout_worst_band,COEVOLVE_STYLE_D,0.5103556092547842,0.0023305451714723028,0.5102614605363862,0.10552978515625,0.2577777777777778
heldout_adversarial_q10,most_played_baseline,0.49702028610552595,0.00010207612084560219,0.49699393016445415,0.0006103515625,0.0
heldout_adversarial_q10,STATIC,0.5131379302761576,0.0014503972260649632,0.5128878865741784,,
heldout_adversarial_q10,STATIC_DIV,0.5121120688473052,0.0015978412981463629,0.5115099607741999,0.24737548828125,0.3244444444444444
heldout_adversarial_q10,COEVOLVE_FROZEN,0.5129124453222661,0.0011401500682702822,0.5124882234715973,1.0,0.4622222222222222
heldout_adversarial_q10,COEVOLVE,0.5123410393562239,0.0012108534668942746,0.5120554818243713,0.364990234375,0.3244444444444444
heldout_adversarial_q10,COEVOLVE_B,0.5126727663518825,0.0014041988537835703,0.5127342190469757,1.0,0.40444444444444444
heldout_adversarial_q10,COEVOLVE_C,0.5123690138556934,0.0017211545235131535,0.5122822760516886,0.8310546875,0.39111111111111113
heldout_adversarial_q10,COEVOLVE_D,0.5131199963762079,0.00146286031854234,0.5129399908003744,0.97796630859375,0.5155555555555555
heldout_adversarial_q10,STATIC_STYLE,0.510786124636228,0.0016070613014627323,0.5106251053475804,0.00274658203125,0.14222222222222222
heldout_adversarial_q10,COEVOLVE_STYLE,0.5108153835254505,0.0022508719530493684,0.5111619674901721,0.08203125,0.17777777777777778
heldout_adversarial_q10,COEVOLVE_STYLE_D,0.5114748342391414,0.00207688658765195,0.5115235603348331,0.2120361328125,0.27555555555555555
heldout_uniform_fitness,most_played_baseline,0.9941256269375391,0.00020699714462310323,0.9940721805046167,0.0006103515625,0.0
heldout_uniform_fitness,STATIC,1.026356992117936,0.002914544538948036,1.0258876424636116,,
heldout_uniform_fitness,STATIC_DIV,1.0243045914487996,0.003194533272877721,1.0230713576558115,0.2110595703125,0.32
heldout_uniform_fitness,COEVOLVE_FROZEN,1.0259500695260404,0.0022895629386733714,1.02515290528041,1.0,0.4711111111111111
heldout_uniform_fitness,COEVOLVE,1.0247772610314436,0.0024238055507039605,1.0242991328471058,0.416259765625,0.3244444444444444
heldout_uniform_fitness,COEVOLVE_B,1.0254710345130589,0.0027980541458216407,1.0256107923986597,1.0,0.40444444444444444
heldout_uniform_fitness,COEVOLVE_C,1.0248804887545664,0.0034366472241935658,1.0246456653449667,0.8310546875,0.39111111111111113
heldout_uniform_fitness,COEVOLVE_D,1.026364203882207,0.0029368735018718223,1.0259697765582092,0.846923828125,0.5066666666666667
heldout_uniform_fitness,STATIC_STYLE,1.0217403963550173,0.0031994900679374666,1.021472140224833,0.00274658203125,0.1511111111111111
heldout_uniform_fitness,COEVOLVE_STYLE,1.0217974423323846,0.004502047594209019,1.0225307364452059,0.08203125,0.18222222222222223
heldout_uniform_fitness,COEVOLVE_STYLE_D,1.023114240313321,0.004125304474145746,1.0231912958271319,0.2120361328125,0.27555555555555555
heldout_adversarial_coevolved,most_played_baseline,,,,,
heldout_adversarial_coevolved,STATIC,,,,,
heldout_adversarial_coevolved,STATIC_DIV,1.0221717394231897,0.004732188409329339,1.022544235350388,,
heldout_adversarial_coevolved,COEVOLVE_FROZEN,,,,,
heldout_adversarial_coevolved,COEVOLVE,,,,,
heldout_adversarial_coevolved,COEVOLVE_B,,,,,
heldout_adversarial_coevolved,COEVOLVE_C,1.0223361300478686,0.004226273626238005,1.0224620047565738,,
heldout_adversarial_coevolved,COEVOLVE_D,1.0244434871397237,0.0036453924383422986,1.0244564598844155,,
heldout_adversarial_coevolved,STATIC_STYLE,1.0192544015273959,0.0042058656589690855,1.0193600446990752,,
heldout_adversarial_coevolved,COEVOLVE_STYLE,1.0189024825127033,0.004964166068722512,1.0194067250485155,,
