metric,method_with,method_without,mean_with,mean_without,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,STATIC,STATIC_NOCLOSURE,0.5241748279880556,0.5036948290548781,0.020479998933177535,0.25,1.0,False
heldout_uniform_mean,COEVOLVE,COEVOLVE_NOCLOSURE,0.5238527164865204,0.5036948290548781,0.020157887431642374,0.1875,1.0,False
heldout_worst_band,STATIC,STATIC_NOCLOSURE,0.5189454250561688,0.5022782823415787,0.016667142714590133,0.125,1.0,False
heldout_worst_band,COEVOLVE,COEVOLVE_NOCLOSURE,0.5197068904363126,0.5022782823415787,0.0174286080947339,0.0625,1.0,False
