gen,repertoire_diversity,opponent_diversity,hof_size
0,0.626679961468903,0.44921020301922016,5.0
1,0.7723525860906302,0.4098232265295433,5.0
2,0.7991569087442515,0.37029717153776576,5.0
3,0.7972878016039924,0.34575913404025765,5.0
4,0.7455869627029142,0.3260720782474435,5.0
5,0.6758005044981878,0.31058370703056437,5.0
6,0.6202029488066241,0.3102939034787763,5.0
7,0.6097728307407385,0.31513882731478415,5.0
8,0.5878397169950934,0.3024457438743582,5.0
9,0.557865425932846,0.29789770356276596,5.0
10,0.5196386765608119,0.3045152116353551,5.0
11,0.5196140131450954,0.3024326094709463,5.0
12,0.46089145960113703,0.3000313905377183,5.0
13,0.44069565833384666,0.30175768708983025,5.0
14,0.4288023454920579,0.30517749478070544,5.0
15,0.41304405617451817,0.3091465974687019,5.0
16,0.3924404435741558,0.3039621657127337,5.0
17,0.376651758333418,0.3052118918535012,5.0
18,0.37475524178512565,0.3011741801592408,5.0
19,0.37036420344724863,0.3005921751675192,5.0
20,0.3665606298669062,0.2948698256758329,5.0
21,0.37205831313206067,0.2965331761384616,5.0
22,0.37175281516234776,0.2956309477101488,5.0
23,0.37681120036213916,0.29565853268299686,5.0
24,0.38738395327473724,0.2932339810997369,5.0
25,0.3857812926480673,0.3025296799805735,5.0
26,0.37536113615368694,0.3006608477714806,5.0
27,0.3727698068180505,0.2962724962715404,5.0
28,0.3628329256136309,0.3013609435947508,5.0
29,0.36108574706129415,0.3100634377162795,5.0
30,0.3473653829098385,0.3038094566512778,5.0
31,0.32754000429438246,0.2986580775562654,5.0
32,0.32434909104611975,0.299679060665272,5.0
33,0.3216668161271705,0.2997971501336135,5.0
34,0.31338090337449614,0.3036818974475015,5.0
35,0.31107354679298566,0.30709050297275964,5.0
36,0.3076252184179366,0.30355095804253607,5.0
37,0.3057251319938844,0.30222953342756304,5.0
38,0.2853487180291096,0.30545290464468106,5.0
39,0.2907169844644143,0.2990063570665881,5.0
40,0.29299761719231315,0.2963771058279601,5.0
41,0.29224841440908395,0.290434475959229,5.0
42,0.2935344289729131,0.29916381797259495,5.0
43,0.2733692906167677,0.30059861775684804,5.0
44,0.24978119014763325,0.3053518443941725,5.0
45,0.24812786101583542,0.3027288345337345,5.0
46,0.25398006410214546,0.3012204569495545,5.0
47,0.23712599990858604,0.29700261941268713,5.0
48,0.2544327386177805,0.29924353676464155,5.0
49,0.24499797717203656,0.29883550147663734,5.0
50,0.22260461290587427,0.3039941403823026,5.0
51,0.23739124033855294,0.3009654202807479,5.0
52,0.22870148946238922,0.29559439464418324,5.0
53,0.20572381847768736,0.30057964674136833,5.0
54,0.22682836834473188,0.3057254750273761,5.0
55,0.24404329453511459,0.29574736511858635,5.0
56,0.23115394458655392,0.30112687443218233,5.0
57,0.23068797670577285,0.29995427385969664,5.0
58,0.21686019971729012,0.3021816840637375,5.0
59,0.2154983851347863,0.2985688751020719,5.0
