metric,method,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
heldout_uniform_mean,most_played_baseline,0.4987817963544048,0.0,0.4987817963544048,0.0014370708072901643,0.0
heldout_uniform_mean,RANDOM_SEARCH,0.5384406171934711,0.0023801726946280333,0.5387129691807491,0.6059787282559552,0.2
heldout_uniform_mean,GREEDY_HILLCLIMB,0.5401745027114606,1.1491900087240784e-16,0.5401745027114607,0.3330580666542016,0.6
heldout_uniform_mean,STATIC,0.5353418649200976,0.01000451070178764,0.5401745027114607,,
heldout_uniform_mean,COEVOLVE_FROZEN,0.5321201063925224,0.011790428932812376,0.5401745027114607,0.31731050786291415,0.43333333333333335
heldout_uniform_mean,COEVOLVE,0.5305010074828937,0.012263430368283168,0.5401745027114607,0.6177096321962052,0.3933333333333333
heldout_worst_band,most_played_baseline,0.4970751520643272,1.1491900087240784e-16,0.4970751520643273,0.0014370708072901643,0.0
heldout_worst_band,RANDOM_SEARCH,0.5271568777846235,0.0017270147261095375,0.5278780273895312,0.9089680923839328,0.2
heldout_worst_band,GREEDY_HILLCLIMB,0.5294946391805082,0.0,0.5294946391805082,0.3330580666542016,0.6
heldout_worst_band,STATIC,0.5254661985294267,0.008339664453498282,0.5294946391805082,,
heldout_worst_band,COEVOLVE_FROZEN,0.5227805714287056,0.009828388813148396,0.5294946391805082,0.6346210157258283,0.43333333333333335
heldout_worst_band,COEVOLVE,0.5214423470430266,0.010208157255864367,0.5294946391805082,0.366256395824783,0.4066666666666667
