gen,repertoire_diversity,opponent_diversity,hof_size
0,0.5598735547476491,0.4583505369625462,5.0
1,0.5747406869104089,0.40154082289685317,5.0
2,0.6076198866855325,0.3732336327625859,5.0
3,0.6200187418402858,0.3388266283230049,5.0
4,0.622191771801463,0.3180129911987545,5.0
5,0.607876283888951,0.3069250333468175,5.0
6,0.5775608018491752,0.3014859717010027,5.0
7,0.5443994512328998,0.2982495347361385,5.0
8,0.48315361891232195,0.3051665611527548,5.0
9,0.42957217519837043,0.3056565998057368,5.0
10,0.38582764103088235,0.30281642004803283,5.0
11,0.3814133791867288,0.29547788610829073,5.0
12,0.3492088431533179,0.29570973583966725,5.0
13,0.3026086226922899,0.30716398014254676,5.0
14,0.27880385519509177,0.3078812353771859,5.0
15,0.276176582291317,0.3060257564782754,5.0
16,0.28322274296846245,0.2982086805098897,5.0
17,0.2818680281436583,0.2894972729355463,5.0
18,0.2736027722289994,0.291241155667657,5.0
19,0.24139034894233002,0.288747813302461,5.0
20,0.2514590346928571,0.2903191187772726,5.0
21,0.24188689070922006,0.29290589035496095,5.0
22,0.25662720364869257,0.29498940082179187,5.0
23,0.2673875062879552,0.30064365668271004,5.0
24,0.24570365975227945,0.301679728922063,5.0
25,0.24081323696089585,0.30082920304554944,5.0
26,0.24914164341727396,0.3096872911125631,5.0
27,0.23193942603570492,0.3017274054773021,5.0
28,0.225390211047234,0.30060402227289446,5.0
29,0.24367411357927557,0.3039037350029431,5.0
30,0.21821794204873127,0.3021186086918439,5.0
31,0.2343535299371343,0.30359782184423467,5.0
32,0.24147325189827878,0.3033819310017203,5.0
33,0.24139924604762542,0.30530402803070955,5.0
34,0.22383973730684423,0.30323144405287533,5.0
35,0.23950315220771398,0.3040163845232286,5.0
36,0.23220425947712883,0.3048847205317956,5.0
37,0.215270027642537,0.3074725621330021,5.0
38,0.23505077264116916,0.3111810032318442,5.0
39,0.2484078069201403,0.30124216399655007,5.0
40,0.2212156151260595,0.29995674989037596,5.0
41,0.23261585488452255,0.2978656351584722,5.0
42,0.22352590058112298,0.30551876712869974,5.0
43,0.2280986319713812,0.30549806673184243,5.0
44,0.2437134923499871,0.3070269069994746,5.0
45,0.23926350694345894,0.3038314833065891,5.0
46,0.22393409008403015,0.2978012881659679,5.0
47,0.23295461641199958,0.30569160536247764,5.0
48,0.227958292838725,0.3012398913221736,5.0
49,0.20269612709108523,0.29766743634732384,5.0
50,0.22240188115323026,0.30192508484389907,5.0
51,0.2133898756417935,0.29623269486987996,5.0
52,0.22671568320523922,0.2971486065632452,5.0
53,0.22908411458267403,0.29506896923593445,5.0
54,0.22409302171751183,0.29482450891862183,5.0
55,0.2280410840993076,0.3012988830912104,5.0
56,0.22338652869073042,0.2963140142601809,5.0
57,0.23293384068807113,0.2980255379509559,5.0
58,0.20613043151887553,0.2979363882119775,5.0
59,0.20562697383093564,0.29978991029515567,5.0
60,0.2204983181062415,0.2994821256645227,5.0
61,0.22150667189730833,0.2908111683375421,5.0
62,0.2040276091056974,0.2965869321298932,5.0
63,0.2154722951496062,0.304927051437972,5.0
64,0.23945191948685357,0.3052165407053117,5.0
65,0.22500781794136823,0.30796731958894935,5.0
66,0.26220180686560945,0.30385230122748536,5.0
67,0.26018091344850686,0.2977668315387675,5.0
68,0.23840086105704358,0.2990017673061579,5.0
69,0.2495189154094317,0.2890955209885305,5.0
70,0.2437936205565762,0.28303176892422616,5.0
71,0.24146682380355855,0.2931973266975426,5.0
72,0.24694654900477264,0.30500658786268997,5.0
73,0.2201852920189057,0.2986757188287281,5.0
74,0.19543841710732493,0.30197405520717724,5.0
75,0.20630392890200852,0.3090952423681305,5.0
76,0.2220837374055546,0.3011502178012318,5.0
