metric,method,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
heldout_uniform_mean,most_played_baseline,0.4971463774307178,1.1491900087240784e-16,0.49714637743071793,0.00018310546875,0.0
heldout_uniform_mean,GREEDY_HILLCLIMB,0.5276012021545265,0.013142867565104577,0.5188803140338556,0.846923828125,0.5422222222222223
heldout_uniform_mean,STATIC,0.5283205720320565,0.01303833434170616,0.5190392549092286,,
heldout_uniform_mean,COEVOLVE,0.532332064493887,0.01264633773550416,0.541055199173586,0.6605224609375,0.6311111111111111
heldout_worst_band,most_played_baseline,0.49397753164702884,5.745950043620392e-17,0.4939775316470289,0.00018310546875,0.0
heldout_worst_band,GREEDY_HILLCLIMB,0.5205157351754974,0.009603671488469514,0.5142807450216624,0.803955078125,0.5511111111111111
heldout_worst_band,STATIC,0.5208295928355839,0.009441653411558643,0.5146363529758345,,
heldout_worst_band,COEVOLVE,0.5236507334805819,0.009513560434001356,0.5299950355637244,0.77880859375,0.6177777777777778
