metric,method_a,method_b,mean_a,mean_b,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,most_played_baseline,RANDOM_SEARCH,0.4921729896835807,0.5178459876547937,-0.02567299797121303,1.862645149230957e-08,0.0,True
heldout_uniform_mean,most_played_baseline,GREEDY_HILLCLIMB,0.4921729896835807,0.5249776670667311,-0.032804677383150405,1.6763806343078613e-08,0.0,True
heldout_uniform_mean,most_played_baseline,STATIC,0.4921729896835807,0.5252159568678025,-0.03304296718422184,1.4901161193847656e-08,0.0,True
heldout_uniform_mean,most_played_baseline,COEVOLVE,0.4921729896835807,0.5252296260113574,-0.03305663632777667,1.30385160446167e-08,0.0,True
heldout_uniform_mean,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5178459876547937,0.5249776670667311,-0.007131679411937375,1.1175870895385742e-08,0.005555555555555556,True
heldout_uniform_mean,RANDOM_SEARCH,STATIC,0.5178459876547937,0.5252159568678025,-0.007369969213008809,9.313225746154785e-09,0.0011111111111111111,True
heldout_uniform_mean,RANDOM_SEARCH,COEVOLVE,0.5178459876547937,0.5252296260113574,-0.007383638356563638,7.450580596923828e-09,0.0033333333333333335,True
heldout_uniform_mean,GREEDY_HILLCLIMB,STATIC,0.5249776670667311,0.5252159568678025,-0.00023828980107143405,0.9043286852538586,0.45,False
heldout_uniform_mean,GREEDY_HILLCLIMB,COEVOLVE,0.5249776670667311,0.5252296260113574,-0.00025195894462626267,1.0,0.44333333333333336,False
heldout_uniform_mean,STATIC,COEVOLVE,0.5252159568678025,0.5252296260113574,-1.3669143554828622e-05,0.7151329666376114,0.4811111111111111,False
heldout_worst_band,most_played_baseline,RANDOM_SEARCH,0.48787251651859975,0.51255332177149,-0.024680805252890292,1.862645149230957e-08,0.0,True
heldout_worst_band,most_played_baseline,GREEDY_HILLCLIMB,0.48787251651859975,0.5200755278105528,-0.03220301129195302,1.6763806343078613e-08,0.0,True
heldout_worst_band,most_played_baseline,STATIC,0.48787251651859975,0.5200339758508304,-0.03216145933223069,1.4901161193847656e-08,0.0,True
heldout_worst_band,most_played_baseline,COEVOLVE,0.48787251651859975,0.520056031049277,-0.03218351453067725,1.30385160446167e-08,0.0,True
heldout_worst_band,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.51255332177149,0.5200755278105528,-0.007522206039062729,1.1175870895385742e-08,0.0,True
heldout_worst_band,RANDOM_SEARCH,STATIC,0.51255332177149,0.5200339758508304,-0.007480654079340399,9.313225746154785e-09,0.0,True
heldout_worst_band,RANDOM_SEARCH,COEVOLVE,0.51255332177149,0.520056031049277,-0.007502709277786956,7.450580596923828e-09,0.0,True
heldout_worst_band,GREEDY_HILLCLIMB,STATIC,0.5200755278105528,0.5200339758508304,4.155195972233017e-05,1.0,0.5122222222222222,False
heldout_worst_band,GREEDY_HILLCLIMB,COEVOLVE,0.5200755278105528,0.520056031049277,1.949676127577238e-05,1.0,0.4988888888888889,False
heldout_worst_band,STATIC,COEVOLVE,0.5200339758508304,0.520056031049277,-2.205519844655779e-05,1.0,0.4955555555555556,False
