metric,method,n,mean,std,median
heldout_uniform_mean,most_played_baseline,30,0.4921729896835807,1.6938038562251105e-16,0.49217298968358053
heldout_uniform_mean,RANDOM_SEARCH,30,0.5178459876547937,0.002170244632999295,0.5176778877241268
heldout_uniform_mean,GREEDY_HILLCLIMB,30,0.5249776670667311,0.002116725494863469,0.5244456858298626
heldout_uniform_mean,STATIC,30,0.5252159568678025,0.0017346177890462092,0.5251267491774527
heldout_uniform_mean,COEVOLVE,30,0.5252296260113574,0.0017769207813020892,0.5254236622466442
heldout_worst_band,most_played_baseline,30,0.48787251651859975,0.0,0.48787251651859975
heldout_worst_band,RANDOM_SEARCH,30,0.51255332177149,0.0014879097520412588,0.5125971771014494
heldout_worst_band,GREEDY_HILLCLIMB,30,0.5200755278105528,0.0014714264069864104,0.5201439814159816
heldout_worst_band,STATIC,30,0.5200339758508304,0.001525888921975603,0.520238532119495
heldout_worst_band,COEVOLVE,30,0.520056031049277,0.001738403018955892,0.5201523810656267
