gen,repertoire_diversity,opponent_diversity,hof_size
0,0.8340067324237032,0.5149619667543968,10.0
1,0.8493621271858214,0.5132480488595899,10.0
2,0.8253113362400926,0.5040900218136068,10.0
3,0.7694600113378709,0.5087723291100402,10.0
4,0.7340863520450516,0.5156736819036823,10.0
5,0.6914323245288472,0.5219816766250904,10.0
6,0.6408588004323048,0.5211978674388666,10.0
7,0.5892674712867334,0.5250343699494722,10.0
8,0.5791640242373435,0.5120675919153426,10.0
9,0.5759990523111491,0.5151132242596937,10.0
10,0.5530608137055933,0.5140870308702916,10.0
11,0.49288802395642933,0.5162726153060875,10.0
12,0.5342868442142659,0.5123597386373215,10.0
13,0.4563732407414891,0.5190756430856295,10.0
14,0.5130857401740777,0.5209717573230406,10.0
15,0.4818499231153997,0.5183070383531201,10.0
16,0.5183726730539672,0.5164846993542622,10.0
17,0.48544778941152,0.5150066560731338,10.0
18,0.4929954233276057,0.513573578401697,10.0
19,0.5005988461745208,0.5036080458208564,10.0
20,0.48406491185480244,0.516556236321977,10.0
21,0.4869829529635145,0.5128244003968618,10.0
22,0.4904433708743929,0.5137587591609358,10.0
23,0.5103165203210606,0.5188616487854886,10.0
24,0.4651263173450708,0.5118432265383028,10.0
25,0.5104451892755161,0.5212262241184897,10.0
26,0.5096124216725237,0.5117208589503791,10.0
27,0.4703706308632955,0.516422050170264,10.0
28,0.5217667557926913,0.5194663360955365,10.0
29,0.4755246935895414,0.5183449800083746,10.0
30,0.473077791923373,0.5148277080815608,10.0
31,0.5329374024651939,0.5083350011126284,10.0
32,0.4659545340785156,0.5163780846085811,10.0
33,0.5366450041300656,0.5211339366961769,10.0
34,0.46278568193497566,0.5191222090762964,10.0
35,0.48259662740211234,0.5176418217505848,10.0
36,0.5011704401048728,0.5183789726662288,10.0
37,0.4831462289943559,0.5236569168219873,10.0
38,0.44886044647245743,0.5027376829090661,10.0
39,0.45252317856970403,0.5074827986733188,10.0
40,0.48734825446554614,0.5089076645322991,10.0
41,0.4547183517620128,0.50809586050825,10.0
42,0.4573662785601248,0.5264495243043783,10.0
43,0.4492777564561394,0.5121081505416634,10.0
44,0.5068156318556177,0.5182690819007011,10.0
45,0.4571911035026522,0.5070116349035271,10.0
46,0.5148633209856558,0.5108098077807747,10.0
47,0.516275286901346,0.5148848230990359,10.0
48,0.4529864227938272,0.5111900728937188,10.0
49,0.4942119410627008,0.5151028716830683,10.0
50,0.522186153743652,0.521216756204454,10.0
51,0.5154726237699445,0.5174732586664409,10.0
