metric,method,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
heldout_uniform_mean,most_played_baseline,0.4956070617504975,1.7237850130861175e-16,0.49560706175049735,0.00018310546875,0.0
heldout_uniform_mean,GREEDY_HILLCLIMB,0.5287014728366078,0.01282227610954068,0.5194114452150657,0.8424072265625,0.6622222222222223
heldout_uniform_mean,STATIC,0.5287147895400592,0.013141597450457015,0.5192589294912825,,
heldout_uniform_mean,COEVOLVE,0.528587404372552,0.012622902573818569,0.5193822431234459,0.7197265625,0.5066666666666667
heldout_worst_band,most_played_baseline,0.49243554905505776,0.0,0.49243554905505776,0.00018310546875,0.0
heldout_worst_band,GREEDY_HILLCLIMB,0.5214027917120455,0.009308473046271463,0.5146229347238381,0.77880859375,0.6666666666666666
heldout_worst_band,STATIC,0.5210859757249343,0.00966671837861864,0.5139161286823785,,
heldout_worst_band,COEVOLVE,0.5205619268149478,0.009471493218271263,0.5142612787918848,0.846923828125,0.4666666666666667
