metric,method,n,mean,std,median
heldout_uniform_mean,most_played_baseline,30,0.4933052926132053,1.6938038562251105e-16,0.49330529261320516
heldout_uniform_mean,RANDOM_SEARCH,30,0.5168853689784557,0.0017454166104101123,0.5169448794050894
heldout_uniform_mean,GREEDY_HILLCLIMB,30,0.5242872294374794,0.0018197511452323323,0.5241627257012522
heldout_uniform_mean,STATIC,30,0.5246019674091703,0.0013750553811670684,0.5246847156766241
heldout_uniform_mean,COEVOLVE,30,0.5243334013151996,0.002060773532378091,0.5247603485727156
heldout_worst_band,most_played_baseline,30,0.488525252901525,1.1292025708167404e-16,0.4885252529015251
heldout_worst_band,RANDOM_SEARCH,30,0.5109726922716505,0.0014719006844225362,0.5104350547232146
heldout_worst_band,GREEDY_HILLCLIMB,30,0.5196392755405962,0.0013904716555000933,0.5201132961766701
heldout_worst_band,STATIC,30,0.519833334460351,0.001658851374996217,0.5198124658523436
heldout_worst_band,COEVOLVE,30,0.5191654534010551,0.0019648975737131076,0.5188246528649507
