metric,method_with,method_without,mean_with,mean_without,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,STATIC,STATIC_NOCLOSURE,0.5246019674091703,0.503694829054878,0.020907138354292365,7.450580596923828e-09,1.0,True
heldout_uniform_mean,COEVOLVE,COEVOLVE_NOCLOSURE,0.5243334013151996,0.503694829054878,0.02063857226032162,5.587935447692871e-09,1.0,True
heldout_worst_band,STATIC,STATIC_NOCLOSURE,0.519833334460351,0.5022782823415786,0.017555052118772396,3.725290298461914e-09,1.0,True
heldout_worst_band,COEVOLVE,COEVOLVE_NOCLOSURE,0.5191654534010551,0.5022782823415786,0.01688717105947657,1.862645149230957e-09,1.0,True
