metric,method,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
heldout_uniform_mean,most_played_baseline,0.4938312565303179,5.745950043620392e-17,0.49383125653031784,0.00018310546875,0.0
heldout_uniform_mean,GREEDY_HILLCLIMB,0.5244096280661027,0.0020553584207242317,0.5246140356098677,0.16650390625,0.3022222222222222
heldout_uniform_mean,STATIC,0.5255467141231763,0.0013396544234804315,0.5256449680813903,,
heldout_uniform_mean,COEVOLVE,0.5260286239011186,0.0017478549688528797,0.5261739346945775,0.48870849609375,0.6044444444444445
heldout_worst_band,most_played_baseline,0.4898396975120107,5.745950043620392e-17,0.4898396975120106,0.00018310546875,0.0
heldout_worst_band,GREEDY_HILLCLIMB,0.5194255110101463,0.0014207906720401038,0.5198406641947416,0.375244140625,0.38222222222222224
heldout_worst_band,STATIC,0.5201261855773612,0.0020240001115687687,0.5203333258224836,,
heldout_worst_band,COEVOLVE,0.520730481382201,0.0016772208033131023,0.5210639566995628,0.33026123046875,0.5866666666666667
